question,answer
"তামিম একটি প্রতিযোগিতায় প্রস্তুতির জন্য ব্যায়ামের প্রশিক্ষণ নিচ্ছেন। তিনি এক মাস (৩০ দিন) প্রতিদিন ৫ ঘন্টা প্রশিক্ষণ নেন। তিনি যদি পরবর্তী ১২ দিন প্রশিক্ষণ চালিয়ে যান, তাহলে তিনি মোট কত ঘন্টা প্রশিক্ষণে করে থাকেন?","তামিম মোট ৩০ + ১২ = <<৩০+১২=৪২>>৪২ দিনে প্রশিক্ষণ করবে।
তামিম প্রতিদিন ৫ ঘন্টা প্রশিক্ষণ করেছিলো, যা ৪২ * ৫ = <<৪২*৫=২১০>>মোট ২১০ ঘন্টার প্রশিক্ষণ।
#### ২১০"
"আমান তার অনুষ্ঠানের জন্য কেক তৈরী করছে। তিনি ৮ জন বন্ধুকে আমন্ত্রণ জানিয়েছেন এবং প্রত্যেকে দুটি কেকের টুকরো করে পাবে। প্রতিটি কেক ৬ টুকরা করে। যদি সে ৪টি কেক বেক করে, তাহলে সে নিজে যদি তিনটি করে খায় তাহলে শেষে কত টুকরা অবশিষ্ট থাকবে?","তার বন্ধুরা ১৬ স্লাইস কেক খাবে কারণ ৮ * ২ = <<৮*২=১৬>>১৬
মোট ১৯টি স্লাইস খাওয়া হবে কারণ ১৬ + ৩ = <<১৬+৩=১৯>>১৯
সে কেকের ২৪ টুকরো তৈরি করছে কারণ ৪ x ৬ = <<৪*৬=২৪>>২৪
৫ টুকরা বাকি থাকবে কারণ ২৪ - ১৯ = <<২৪-১৯=৫>>৫
#### ৫"
জীবন ব্যায়াম করছেন। তিনি ১০ টি  ১৫ কেজির বেঞ্চ প্রেস করেন এবং তা ৩ সেট করে। সে মোট কত ওজনের কাজ করে?,"তিনি ১৫ কেজি x ১০ বার = <<১৫*১০=১৫০>>১৫০ কেজি চাপেন
তিনি ৩ সেট x ১৫০ কেজি = <<৩*১৫০=৪৫০>>মোট ৪৫০ কেজি সরান।
#### ৪৫০"
"তানভিরকে কারখানা থেকে ৬৩৮টি বাটি , বাড়ির পণ্যের দোকান টি তে নিয়ে যাওয়ার জন্য ভাড়া করা হয়েছে। বাড়ির পণ্যের দোকানটিতে যারা জিনিস গুলো নিয়ে যেতে সাহায্য করছে তাদের ৳১০০ ফি প্রদান করবে, এবং নিরাপদে বিতরণ করা প্রতিটি বাটির জন্য ৳৩। তানভিরকে অবশ্যই হারানো বা ভাঙা বাটির ও বাড়ির জিনিসপত্রের  প্রতিটির জন্য ৳৪ দিতে হবে। যদি ১২টি বাটি হারিয়ে যায়, ১৫টি বাটি ভেঙ্গে যায় এবং বাকিগুলি নিরাপদে পৌঁছে দেওয়া হয়, তাহলে তানভিরকে কত টাকা দিতে হবে?","তানভির ১২ + ১৫ = <<১২+১৫=২৭>>২৭ বাটি হারিয়েছে বা ভেঙেছে।
তানভির দোকানে ২৭ x ৳৪ = ৳<<২৭*৪=১০৮>>১০৮ টাকা দিতে হবে।
তানভির নিরাপদে ৬৩৮ - ২৭ = <<৬৩৮-২৭=৬১১>>৬১১ বাটি নিয়েছে।
এর জন্য, তাকে ৬১১ x ৳৩ = ৳<<৬১১*৩=১৮৩৩>>১৮৩৩ টাকা দেওয়া হবে।
মোট তানভিরকে ৳১৮৩৩ + ৳১০০ = ৳<<১৮৩৩+১০০=১৯৩৩>>১৯৩৩ টাকা প্রদান করা হবে।
যেহেতু তানভিরকে ভাঙা এবং হারিয়ে যাওয়া বাটিগুলির জন্য বাড়ির মালামাল ১০৮ টাকা দিতে হবে, তাই তার শেষ হবে ৳১৯৩৩-৳১০৮ = ৳১৮২৫৷
#### ১৮২৫"
মুনতাহা আর সামির  এর  মোট ১৯ টাকা এবং ৬ পয়সা রয়েছে। তিনি ৩ টাকায় ৪টি  মিষ্টি এবং ১ পয়সা দিয়ে ১টি বেলুন কেনেন৷  তার কাছে  কত টাকা বাকি আছে?,"মিছরির দাম ৪*৩=<<৪*৩=১২>>১২ টাকা।
সামির ১৯-১২=<<১৯-১২=৭>>৭ টাকা বাকি আছে।
সামির ৬-১=<<৬-১=৫>>৫ বাকি আছে।
সামির ৭*১০+৫*২৫=<<৭*১০+৫*২৫=১৯৫>>১৯৫ পয়সা বাকি আছে।
#### ১৯৫"
"রিপন তার আয়তক্ষেত্রাকার পুকুরের জন্য পানি থেকে ময়লা সরানোর ঔষধ কিনছেন, যেটি ১০ ​​ফুট লম্বা, ৮ ফুট চওড়া এবং ৬ ফুট গভীর। রিপনকে তার পুকুরের প্রতি ১২০ ঘনফুট পানির জন্য ৩.৭৯ কেজি চতুর্থাংশ ক্লোরিন কিনতে হবে। ক্লোরিনের দাম যদি প্রতি এক গ্যালনের চতুর্থাংশে ৳৩ হয়, রিপন ক্লোরিনের জন্য কত খরচ করতে হবে?","প্রথমে দৈর্ঘ্যকে উচ্চতা ও প্রস্থ দ্বারা গুণ করে পুলের আয়তন খুঁজুন: ১০ ফুট * ৮ ফুট * ৬ ফুট = <<১০*৮*৬=৪৮০>>৪৮০ ঘনফুট
তারপর পুলের আয়তনকে ঘনফুট সংখ্যা দিয়ে ভাগ করুন  এক গ্যালনের চতুর্থাংশ ক্লোরিন জীবাণুমুক্ত করতে পারে: ৪৮০ কিউবিক ফুট / ১২০ কিউবিক ফুট/ কোয়ার্ট = <<৪৮০/১২০=৪>>৪ এক গ্যালনের চতুর্থাংশ
তারপর রিপন কত টাকা খরচ করে তা খুঁজে বের করতে এক গ্যালনের চতুর্থাংশ প্রতি মূল্য দিয়ে তার ক্রয় করা এক গ্যালনের চতুর্থাংশের সংখ্যাকে গুণ করুন: ৳৩/এক গ্যালনের চতুর্থাংশ * ৪ গ্যালনের চতুর্থাংশ  = ৳<<৩*৪=১২>>১২
#### ১২"
মোহিমার বয়স ৩ বছর। তার ভাইয়ের বয়স তার চেয়ে ৪ গুণ। তার বোন তার ভাইয়ের থেকে ৫ বছরের ছোট। মোহিমার এবং তার বোনের মধ্যে বয়সের পার্থক্য কী?,"মোহিমার ভাইয়ের বয়স ৩ বছর x ৪ = <<৩*৪=১২>>১২ বছর।
তার বোনের বয়স ১২ বছর - ৫ বছর = <<১২-৫=৭>>৭ বছর।
মোহিমার এবং তার বোনের মধ্যে বয়সের পার্থক্য হল ৭ বছর - ৩ বছর = <<৭-৩=৪>>৪ বছর।
#### ৪"
"কারিবকে প্রতিবার তার ওষুধ খাওয়ার সময় ৪ চুমুক জল পান করতে হয়। তার ওষুধের নির্দেশনা হল একটি ট্যাবলেট করে দিনে তিনবার খেতে হবে। তিনি এক সপ্তাহের জন্য এই নিয়ম অনুসরণ করেছিল, কিন্তু দ্বিতীয় সপ্তাহে, তিনি একদিনে দুবার ভুলে গিয়েছিলেন। এই দুই সপ্তাহে সে তার ওষুধের সাথে কত চুমুক জল পান করেছিল?","কারিবকে তার ওষুধের সাথে প্রতিদিন ৪ * ৩ = <<৪*৩=১২>>১২ চুমুক জল পান করে।
এক সপ্তাহে, সে তার ওষুধের সাথে ১২ * ৭ = <<১২*৭=৮৪>>৮৪ চুমুক জল পান করে।
দুই সপ্তাহে, সে তার ওষুধের সাথে ৮৪ * ২ = <<৮৪*২=১৬৮>>১৬৮ চুমুক জল পান করে।
একদিন, তিনি দুটি ট্যাবলেট ভুলে গিয়েছিলেন, তাই তিনি ২ * ৪ = <<২*৪=৮>>৮ চুমুক জল পান করেননি৷
এইভাবে, ্কারিব দুই সপ্তাহ ধরে তার ওষুধের সাথে ১৬৮ - ৮ = <<১৬৮-৮=১৬০>>১৬০ চুমুক জল পান করেছে।
#### ১৬০"
জেরিনের ২৬টি সবুজ বেলুন ছিল। তারপর সে ৬ থলি নীল বেলুন কিনল। প্রতিটি থলিতে ১০টি বেলুন ছিল। তিনি ৬টি সবুজ বেলুন এবং ৮টি নীল বেলুনের একটি উপহার তৈরি করে  এটি একটি বন্ধুকে দিয়েছিলেন। জেরিনের এখন কতটি বেলুন আছে?,"জেরিনের ৬ ব্যাগ * ১০ নীল বেলুন = <<৬*১০=৬০>>৬০টি মার্বেল।
জেরিনের মোট ২৬টি সবুজ বেলুন + ৬০টি নীল বেলুন = <<২৬+৬০=৮৬>>৮৬টি বেলুন রয়েছে৷
জেরিনের ৬টি সবুজ বেলুন+ ৮ নীল বেলুন = <<৬+৮=১৪>>১৪টি বেলুন উপহার দিয়েছেন।
জেরিনের চূড়ান্ত পরিমাণ ৮৬ বেলুন - ১৪ বেলুন = <<৮৬-১৪=৭২>>৭২ বেলুন।
#### ৭২"
"ইরাএকটি হ্রদের কাছে বাস করে যেখানে বেশিরভাগ স্থানীয়রা তাদের আয়ের প্রধান উৎস হিসাবে মাছ বিক্রি করে, প্রতি কেজি মাছ থেকে ৳২০ উপার্জন করে। সে আজ মাছ ধরতে বের হয় এবং গত চার মাসে যত মাছ ধরেছিল তার দ্বিগুণ মাছ ধরে। যদি ইরা গত চার মাসে ৮০ কেজি মাছ টানা জালে ধরে, কিন্তু আজকে সে যদি না ধরে। তাহলে আজকে সহ গত চার মাসে সে কত টাকা উপার্জন করবে (ধরি,  সে তার সমস্ত মাছ বিক্রি করেছে)?"," আজ বাদে গত চার মাসে, আরির কাছে ৮০ কেজি * ৳২০/কেজি = ৳<<৮০*২০=১৬০০>>১৬০০ মূল্যের মাছ রয়েছে৷
আজ, আরি ৮০*২ = <<৮০*২=১৬০>>১৬০ কেজি মাছ ট্রল করেছে।
এইভাবে আজকের উপার্জন হল ১৬০ kg * ৳২০/kg = ৳<<১৬০*২০=৩২০০>>৩২০০৷
তার মোট উপার্জন হল ৳৩২০০ + ৳১৬০০ = ৳<<৩২০০+১৬০০=৪৮০০>>৪৮০০
#### ৪৮০০"
"জেরিন তার খালাকে একটি বড় চিঠি লিখে এবং এটি পাঠানোর জন্য এটিতে স্ট্যাম্প লাগাতে হয়। তিনি আট টুকরো কাগজ ব্যবহার করেছেন যার ওজন প্রতিটি গ্রামের ১/৫ অংশ, এবং তার খামের ওজন গ্রামের ২/৫ অংশ। তার প্রতি গ্রামে পাঠানোর জন্য একটি স্ট্যাম্প দরকার হয়। জেসিকাকে তার চিঠি পাঠানোর জন্য কতগুলি স্ট্যাম্পের প্রয়োজন হয়?","জেরিন কাগজপত্রের ওজন ৮ * ১/৫ = ৮/৫ গ্রাম।
খামের কাগজগুলোর ওজন ৮/৫ + ২/৫ = ১০/৫ = <<৮/৫+২/৫=২>>২ গ্রাম।
এইভাবে, জেরিন তার চিঠি পাঠানোর জন্য ২ * ১ = <<২*১=২>>২টি স্ট্যাম্প প্রয়োজন৷
#### ২"
"তামিমের বাড়িটির মূল্য তার কেনার চেয়ে ২৫% বেশি। তিনি এটি বিক্রি করেন এবং একটি নতুন বাড়ি কেনেন যার দাম ৳৫০০,০০০। যদি তাকে ৭৫% এর জন্য ঋণ নিতে হয় যা পরিশোধ করা তার পক্ষে সম্বভ নয়, তাহলে সে তার প্রথম বাড়ি কত টাকায় কিনেছিল?","তিনি নতুন বাড়ির মূল্যের ২৫% প্রদান করেছেন কারণ ১০০ - ৭৫ = <<১০০-৭৫=২৫>>২৫
তিনি নতুন বাড়ির জন্য ৳১২৫,০০০ প্রদান করেছেন কারণ ৫০০,০০০ x .২৫ = <<৫০০০০০*.২৫=১২৫০০০>>১২৫,০০০
তাই তিনি তার প্রথম বাড়ির জন্য ৳১০০,০০০ প্রদান করেছেন কারণ ১২৫,০০০ / ১.২৫ = <<১২৫০০০/১.২৫=১০০০০০>>১০০,০০০
#### ১০০০০০"
"নীলা এবং রিমু তাদের ভাতা একত্রিত করে মোট ৯ টাকা । তারা একটি বাক্স কার্ড কিনে যার মূল্য ১০ টাকা, এছাড়াও তারা ৳২ বাক্স স্টিকার কিনে এবং বাক্সগুলিকে সমানভাবে ভাগ করে। রিমু কত প্যাকেট স্টিকার পেয়েছে?","নীলা এবং রিমু একসাথে ৳৯/ব্যক্তি x ২ জন = ৳<<৯*২=১৮>>১৮
কার্ডের বাক্স কেনার পর তাদের কাছে ছিল ৳১৮ - ৳১০ = ৳<<১৮-১০=৮>>৮ টাকা দিয়ে তারা ৳৮ / ৳২/প্যাকেট = <<৮/২=৪>>৪ প্যাকেট স্টিকার কিনেছে                                              রিমু ৪ প্যাকেট পেয়েছে / ২ জন = <<৪/২=২>>২ প্যাকেট স্টিকার
#### ২"
মিরার দুটি বিড়ালের ওজন ৭ এবং ১০ কেজি। তার কুকুরের ওজন কত হবে যদি তার দুটি বিড়ালের ওজনের যোগফলের দ্বিগুণ হয়?,"মিরার দুটি বিড়ালের ওজনের যোগফল হল ৭ + ১০ = <<৭+১০=১৭>>১৭ কেজি।
মিরার কুকুরটির ওজন ১৭ * ২ = <<১৭*২=৩৪>>৩৪ কেজি।
#### ৩৪"
একটি দোকান বাক্স এবং কার্টনে তাজা সবজি পরিবহন করার জন্য পৌছিয়ে দেওয়ার ট্রাক ব্যবহার করে। সবজির একটি বাক্সের ওজন ৪ কিলোগ্রাম এবং একটি কার্টনের ওজন ৩ কিলোগ্রাম। ১২টি বাক্সের লোড এবং ১৬ কার্টন সবজির ওজন কত হবে?,"১২ বাক্স সবজির ওজন ১২ * ৪ = <<১২*৪=৪৮>>৪৮ কিলোগ্রাম।
১৬ কার্টন সবজির ওজন ১৬ * ৩ = <<১৬*৩=৪৮>>৪৮ কিলোগ্রাম।
সুতরাং সমস্ত বাক্স এবং কার্টনের মোট ওজন হল ৪৮ + ৪৮ = <<৪৮+৪৮=৯৬>>৯৬ কিলোগ্রাম।
#### ৯৬"
কুহুর কাছে ৬ টি সূর্যমুখী এবং ৮ টি পুষ্পবৃক্ষ রয়েছে। সূর্যমুখীতে প্রতি গাছে ৯টি বীজ  এবং পুষ্পবৃক্ষের প্রতি গাছে ১২টি বীজ থাকে। কুহুর বীজের কত শতাংশ পুষ্পবৃক্ষ থেকে আসে?,"প্রথমে সূর্যমুখী থেকে বীজের সংখ্যা নির্ণয় করুন প্রতি সূর্যমুখী বীজের সংখ্যা দ্বারা সূর্যমুখীর সংখ্যাকে গুণ করে: ৬টি সূর্যমুখী * ৯ বীজ/সূর্যমুখী = <<৬*৯=৫৪>>৫৪ বীজ
এরপর পুষ্পবৃক্ষ থেকে বীজের সংখ্যা গণনা করুন পুষ্পবৃক্ষের সংখ্যাকে প্রতি পুষ্পবৃক্ষ বীজের সংখ্যা দ্বারা গুণ করে: ৮ পুষ্পবৃক্ষ * ১২ বীজ/পুষ্পবৃক্ষ = <<৮*১২=৯৬>>৯৬ বীজ
এখন মোট বীজের সংখ্যা বের করতে গাছের প্রতিটি গ্রুপ থেকে বীজের সংখ্যা যোগ করুন: ৫৪ বীজ + ৯৬ বীজ = <<৫৪+৯৬=১৫০>>১৫০ বীজ
এখন পুষ্পবৃক্ষ বীজের সংখ্যাকে মোট বীজের সংখ্যা দিয়ে ভাগ করুন এবং পুষ্পবৃক্ষ থেকে আসা বীজের শতাংশ খুঁজে বের করতে উত্তরটিকে ১০০ দ্বারা গুণ করুন: ৯৬ বীজ / ১৫০ বীজ * ১০০% = ৬৪%
#### ৬৪"
"মরিয়ম একটি রহস্য বইয়ের পাঠাগার আছে। তিনি বছরের শুরুতে ৭২টি রহস্য বই পড়া শুরু করেছিলেন। তিনি একটি বই ক্লাবে যোগদান করেন যেটি তাকে বছরের প্রতি মাসে ১টি বই পাঠায়। বছরের অর্ধেকে এর সময় তিনি একটি বইয়ের দোকানে গিয়েছিলেন এবং আরও ৫টি বই কিনেছিলেন, তারপরে উঠান বিক্রিতে ২টি বই কিনেছিলেন। তার মেয়ে তার জন্মদিনের জন্য তাকে আরেকটি বই দিয়েছিল, এবং তার মা তাকে ৪টি বইয়ের একটি সিরিজ দিয়েছিলেন যখন মরিয়ম তাকে দেখতে আসেন। তিনি ১২টি বই দান করেছিলেন যা তিনি আবার একটি দাতব্য দোকানে পড়তে চান না এবং ৩টি একটি ব্যবহৃত বইয়ের দোকানে বিক্রি করেছিলেন৷ বছরের শেষে তার কত বই ছিল?","মরিয়ম বইয়ের ক্লাব থেকে ১ * ১২ = <<১*১২=১২>>১২টি বই পেয়েছে৷
সে ৫ + ২ = <<৫+২=৭>>৭টি বই কিনেছে।
তাকে ১ + ৪ = <<১+৪=৫>>৫টি বই দেওয়া হয়েছিল।
সে ১২ + ৩ = <<১২+৩=১৫>>১৫টি বই থেকে মুক্তি পেয়েছে।
এইভাবে, বছরের শেষে তার ৭২ + ১২ + ৭ + ৫ - ১৫ = <<৭২+১২+৭+৫-১৫=৮১>>৮১টি বই ছিল।
#### ৮১"
