blind_id,item_id,split,hallucination_type,gold_answer
codemix-0049,codemix_hallu-0043,hallucinated,comprehension,"Rakhaldas Bandyopadhyay, I. Je. Eich. Mackay o Sir John Marshall"
codemix-0050,codemix_gold-0024,gold,gold,Satyananda Dashgupta
codemix-0051,codemix_hallu-0112,hallucinated,inference,Rabia Ud Durani
codemix-0052,codemix_hallu-0121,hallucinated,inference,2018
codemix-0053,codemix_hallu-0154,hallucinated,specificity,Dumdum bimanbondore
codemix-0054,codemix_hallu-0131,hallucinated,inference,New York
codemix-0055,codemix_hallu-0005,hallucinated,comprehension,Maccormick Foods Australia
codemix-0056,codemix_hallu-0053,hallucinated,factualness,"676,552 borgokilometer"
codemix-0057,codemix_gold-0042,gold,gold,Mike ebong Sule
codemix-0058,codemix_hallu-0074,hallucinated,factualness,Shajel
codemix-0059,codemix_gold-0019,gold,gold,1909
codemix-0060,codemix_hallu-0006,hallucinated,comprehension,cancerer
codemix-0061,codemix_hallu-0061,hallucinated,factualness,"Jogshastrer Ishtodebota[5][6], tettrish Boidik debota[7] ba shotadhik Pauranik debota"
codemix-0062,codemix_hallu-0136,hallucinated,inference,6
codemix-0063,codemix_hallu-0139,hallucinated,inference,Takihiko Nakao
codemix-0064,codemix_hallu-0126,hallucinated,inference,Bongiyo Sahitto Porishod
codemix-0065,codemix_gold-0032,gold,gold,Bharot bongser mohan upakhyan
codemix-0066,codemix_hallu-0031,hallucinated,comprehension,New York
codemix-0067,codemix_gold-0005,gold,gold,"7i April, 1920"
codemix-0068,codemix_hallu-0047,hallucinated,comprehension,Pir Hojrot Shah Syed Abbas Ali Raji
codemix-0069,codemix_gold-0022,gold,gold,Ikhwanul Muslimin
codemix-0070,codemix_hallu-0003,hallucinated,comprehension,"676,552 borgokilometer"
codemix-0071,codemix_hallu-0157,hallucinated,specificity,1979 saler May mase
codemix-0072,codemix_hallu-0160,hallucinated,specificity,448
codemix-0073,codemix_gold-0003,gold,gold,Muslim Gurjar
codemix-0074,codemix_hallu-0107,hallucinated,inference,1979 saler May mase
codemix-0075,codemix_hallu-0153,hallucinated,specificity,"676,552 borgokilometer"
codemix-0076,codemix_gold-0050,gold,gold,Loukik Hindudharm
codemix-0077,codemix_hallu-0048,hallucinated,comprehension,Sanskrit shobdo Sindhu
codemix-0078,codemix_gold-0012,gold,gold,Rahat Ara Begome
codemix-0079,codemix_hallu-0172,hallucinated,specificity,Three-D sensor
codemix-0080,codemix_hallu-0078,hallucinated,factualness,Safa porboter padodeshe Zayed-bin-Arkamer barite
codemix-0081,codemix_hallu-0085,hallucinated,factualness,jwore
codemix-0082,codemix_hallu-0039,hallucinated,comprehension,Takihiko Nakao
codemix-0083,codemix_hallu-0158,hallucinated,specificity,Krishnopan Gangopadhyay
codemix-0084,codemix_hallu-0014,hallucinated,comprehension,Dhire bohe Meghna
codemix-0085,codemix_gold-0002,gold,gold,lemoniforms
codemix-0086,codemix_gold-0036,gold,gold,1976
codemix-0087,codemix_hallu-0065,hallucinated,factualness,1857
codemix-0088,codemix_hallu-0034,hallucinated,comprehension,26.5 borgo kilometer
codemix-0089,codemix_hallu-0001,hallucinated,comprehension,identifyd
codemix-0090,codemix_hallu-0181,hallucinated,specificity,New York
codemix-0091,codemix_hallu-0169,hallucinated,specificity,19.30 borgo ki.mi.
codemix-0092,codemix_gold-0004,gold,gold,Ramlochone
codemix-0093,codemix_hallu-0038,hallucinated,comprehension,sui somrat oen
codemix-0094,codemix_hallu-0101,hallucinated,inference,identifyd
codemix-0095,codemix_hallu-0183,hallucinated,specificity,1734 shale
codemix-0096,codemix_hallu-0083,hallucinated,factualness,1734 shale
codemix-0097,codemix_hallu-0035,hallucinated,comprehension,jwore
codemix-0098,codemix_hallu-0123,hallucinated,inference,Khadija binte Khuwaylid
codemix-0099,codemix_gold-0025,gold,gold,1985
codemix-0100,codemix_gold-0028,gold,gold,7om
codemix-0101,codemix_hallu-0120,hallucinated,inference,bampanthi ganatantri doler
codemix-0102,codemix_hallu-0129,hallucinated,inference,11 ti
codemix-0103,codemix_gold-0017,gold,gold,Mahanayok Uttamkumar
codemix-0104,codemix_gold-0013,gold,gold,abacus
codemix-0105,codemix_gold-0046,gold,gold,Koushik Ganguly
codemix-0106,codemix_hallu-0033,hallucinated,comprehension,1734 shale
codemix-0107,codemix_hallu-0132,hallucinated,inference,Jalaluddin Khilji
codemix-0108,codemix_hallu-0173,hallucinated,specificity,Khadija binte Khuwaylid
codemix-0109,codemix_hallu-0113,hallucinated,inference,ask
codemix-0110,codemix_hallu-0049,hallucinated,comprehension,Arbi mulok
codemix-0111,codemix_gold-0021,gold,gold,Josep Naispor Nips
codemix-0112,codemix_hallu-0147,hallucinated,inference,Pir Hojrot Shah Syed Abbas Ali Raji
codemix-0113,codemix_hallu-0077,hallucinated,factualness,Babylone
codemix-0114,codemix_gold-0020,gold,gold,Jagabandhu Dutta
codemix-0115,codemix_gold-0011,gold,gold,Sir Reginald Lipar
codemix-0116,codemix_gold-0039,gold,gold,1971
codemix-0117,codemix_gold-0040,gold,gold,Wellesley
codemix-0118,codemix_hallu-0141,hallucinated,inference,1985 shale
codemix-0119,codemix_hallu-0020,hallucinated,comprehension,bampanthi ganatantri doler
codemix-0120,codemix_hallu-0149,hallucinated,inference,Arbi mulok
codemix-0121,codemix_hallu-0111,hallucinated,inference,"Jogshastrer Ishtodebota[5][6], tettrish Boidik debota[7] ba shotadhik Pauranik debota"
codemix-0122,codemix_gold-0026,gold,gold,"kom-beshi 30,000"
codemix-0123,codemix_hallu-0188,hallucinated,specificity,sui somrat oen
codemix-0124,codemix_hallu-0178,hallucinated,specificity,Safa porboter padodeshe Zayed-bin-Arkamer barite
codemix-0125,codemix_hallu-0133,hallucinated,inference,1734 shale
codemix-0126,codemix_hallu-0066,hallucinated,factualness,Belizer Caye Caulker e
codemix-0127,codemix_gold-0009,gold,gold,Prothom gaan
codemix-0128,codemix_gold-0016,gold,gold,1953 saler 2 February
codemix-0129,codemix_hallu-0182,hallucinated,specificity,Jalaluddin Khilji
codemix-0130,codemix_hallu-0145,hallucinated,inference,Harry Potter and the Deathly Hallows
codemix-0131,codemix_hallu-0110,hallucinated,inference,448
codemix-0132,codemix_hallu-0135,hallucinated,inference,jwore
codemix-0133,codemix_hallu-0064,hallucinated,factualness,Dhire bohe Meghna
codemix-0134,codemix_gold-0043,gold,gold,Kolkata
codemix-0135,codemix_hallu-0194,hallucinated,specificity,573 sale
codemix-0136,codemix_hallu-0037,hallucinated,comprehension,Maddhoprachche
codemix-0137,codemix_hallu-0191,hallucinated,specificity,1985 shale
codemix-0138,codemix_hallu-0102,hallucinated,inference,Barnet football club e
codemix-0139,codemix_hallu-0128,hallucinated,inference,Safa porboter padodeshe Zayed-bin-Arkamer barite
codemix-0140,codemix_hallu-0186,hallucinated,specificity,6
codemix-0141,codemix_hallu-0146,hallucinated,inference,1938 saler 10 February
codemix-0142,codemix_hallu-0055,hallucinated,factualness,Maccormick Foods Australia
codemix-0143,codemix_hallu-0017,hallucinated,comprehension,1993-1998
codemix-0144,codemix_hallu-0162,hallucinated,specificity,Rabia Ud Durani
codemix-0145,codemix_hallu-0103,hallucinated,inference,"676,552 borgokilometer"
codemix-0146,codemix_hallu-0081,hallucinated,factualness,New York
codemix-0147,codemix_gold-0033,gold,gold,Rin-chen-bjang-po
codemix-0148,codemix_hallu-0176,hallucinated,specificity,Bongiyo Sahitto Porishod
codemix-0149,codemix_hallu-0015,hallucinated,comprehension,1857
codemix-0150,codemix_hallu-0084,hallucinated,factualness,26.5 borgo kilometer
codemix-0151,codemix_gold-0018,gold,gold,1953
codemix-0152,codemix_hallu-0143,hallucinated,inference,"Rakhaldas Bandyopadhyay, I. Je. Eich. Mackay o Sir John Marshall"
codemix-0153,codemix_hallu-0070,hallucinated,factualness,bampanthi ganatantri doler
codemix-0154,codemix_hallu-0171,hallucinated,specificity,2018
codemix-0155,codemix_hallu-0119,hallucinated,inference,19.30 borgo ki.mi.
codemix-0156,codemix_hallu-0166,hallucinated,specificity,Belizer Caye Caulker e
codemix-0157,codemix_gold-0045,gold,gold,1561 sale
codemix-0158,codemix_hallu-0137,hallucinated,inference,Maddhoprachche
codemix-0159,codemix_hallu-0044,hallucinated,comprehension,573 sale
codemix-0160,codemix_hallu-0156,hallucinated,specificity,cancerer
codemix-0161,codemix_hallu-0019,hallucinated,comprehension,19.30 borgo ki.mi.
codemix-0162,codemix_hallu-0069,hallucinated,factualness,19.30 borgo ki.mi.
codemix-0163,codemix_hallu-0054,hallucinated,factualness,Dumdum bimanbondore
codemix-0164,codemix_hallu-0091,hallucinated,factualness,1985 shale
codemix-0165,codemix_hallu-0095,hallucinated,factualness,Harry Potter and the Deathly Hallows
codemix-0166,codemix_hallu-0042,hallucinated,comprehension,Khristopurbo 1m shohosrabder 1m shotabdi
codemix-0167,codemix_hallu-0094,hallucinated,factualness,573 sale
codemix-0168,codemix_hallu-0163,hallucinated,specificity,ask
codemix-0169,codemix_hallu-0117,hallucinated,inference,1993-1998
codemix-0170,codemix_gold-0006,gold,gold,Hossain Shahid Suhrawardy o Abul Hasheme
codemix-0171,codemix_hallu-0199,hallucinated,specificity,Arbi mulok
codemix-0172,codemix_hallu-0026,hallucinated,comprehension,Bongiyo Sahitto Porishod
codemix-0173,codemix_gold-0038,gold,gold,2003 shale
codemix-0174,codemix_hallu-0192,hallucinated,specificity,Khristopurbo 1m shohosrabder 1m shotabdi
codemix-0175,codemix_hallu-0075,hallucinated,factualness,Frank Darabont
codemix-0176,codemix_hallu-0059,hallucinated,factualness,13sh shotabdi te
codemix-0177,codemix_hallu-0170,hallucinated,specificity,bampanthi ganatantri doler
codemix-0178,codemix_hallu-0193,hallucinated,specificity,"Rakhaldas Bandyopadhyay, I. Je. Eich. Mackay o Sir John Marshall"
codemix-0179,codemix_hallu-0018,hallucinated,comprehension,Promila
codemix-0180,codemix_hallu-0050,hallucinated,comprehension,"18 February, 1899"
codemix-0181,codemix_hallu-0148,hallucinated,inference,Sanskrit shobdo Sindhu
codemix-0182,codemix_hallu-0093,hallucinated,factualness,"Rakhaldas Bandyopadhyay, I. Je. Eich. Mackay o Sir John Marshall"
codemix-0183,codemix_hallu-0159,hallucinated,specificity,13sh shotabdi te
codemix-0184,codemix_hallu-0161,hallucinated,specificity,"Jogshastrer Ishtodebota[5][6], tettrish Boidik debota[7] ba shotadhik Pauranik debota"
codemix-0185,codemix_hallu-0076,hallucinated,factualness,Bongiyo Sahitto Porishod
codemix-0186,codemix_hallu-0142,hallucinated,inference,Khristopurbo 1m shohosrabder 1m shotabdi
codemix-0187,codemix_hallu-0021,hallucinated,comprehension,2018
codemix-0188,codemix_hallu-0097,hallucinated,factualness,Pir Hojrot Shah Syed Abbas Ali Raji
codemix-0189,codemix_hallu-0032,hallucinated,comprehension,Jalaluddin Khilji
codemix-0190,codemix_hallu-0138,hallucinated,inference,sui somrat oen
codemix-0191,codemix_hallu-0118,hallucinated,inference,Promila
codemix-0192,codemix_hallu-0187,hallucinated,specificity,Maddhoprachche
codemix-0193,codemix_hallu-0012,hallucinated,comprehension,Rabia Ud Durani
codemix-0194,codemix_hallu-0068,hallucinated,factualness,Promila
codemix-0195,codemix_gold-0027,gold,gold,1994
codemix-0196,codemix_hallu-0089,hallucinated,factualness,Takihiko Nakao
codemix-0197,codemix_hallu-0092,hallucinated,factualness,Khristopurbo 1m shohosrabder 1m shotabdi
codemix-0198,codemix_hallu-0025,hallucinated,comprehension,Frank Darabont
codemix-0199,codemix_hallu-0098,hallucinated,factualness,Sanskrit shobdo Sindhu
codemix-0200,codemix_gold-0031,gold,gold,mamlukder
codemix-0201,codemix_gold-0041,gold,gold,poshchim golardhe
codemix-0202,codemix_hallu-0087,hallucinated,factualness,Maddhoprachche
codemix-0203,codemix_hallu-0196,hallucinated,specificity,1938 saler 10 February
codemix-0204,codemix_gold-0030,gold,gold,nultram
codemix-0205,codemix_hallu-0040,hallucinated,comprehension,Saint Peters High School e
codemix-0206,codemix_gold-0015,gold,gold,1978 sal
codemix-0207,codemix_hallu-0088,hallucinated,factualness,sui somrat oen
codemix-0208,codemix_gold-0034,gold,gold,prothom Bahauddin Sam
codemix-0209,codemix_hallu-0179,hallucinated,specificity,11 ti
codemix-0210,codemix_hallu-0041,hallucinated,comprehension,1985 shale
codemix-0211,codemix_gold-0007,gold,gold,Edward Armstrong ebong Alexander Messner
codemix-0212,codemix_hallu-0195,hallucinated,specificity,Harry Potter and the Deathly Hallows
codemix-0213,codemix_hallu-0002,hallucinated,comprehension,Barnet football club e
codemix-0214,codemix_gold-0008,gold,gold,Bardhaman
codemix-0215,codemix_hallu-0072,hallucinated,factualness,Three-D sensor
codemix-0216,codemix_hallu-0151,hallucinated,specificity,identifyd
codemix-0217,codemix_hallu-0115,hallucinated,inference,1857
codemix-0218,codemix_hallu-0057,hallucinated,factualness,1979 saler May mase
codemix-0219,codemix_hallu-0108,hallucinated,inference,Krishnopan Gangopadhyay
codemix-0220,codemix_gold-0037,gold,gold,Dhaka jelar (odhuna Bangladesh rashtrer Narayanganj jelar Sonargaon upojelar Bardi grame
codemix-0221,codemix_hallu-0180,hallucinated,specificity,12 July 1977
codemix-0222,codemix_hallu-0167,hallucinated,specificity,1993-1998
codemix-0223,codemix_hallu-0184,hallucinated,specificity,26.5 borgo kilometer
codemix-0224,codemix_hallu-0051,hallucinated,factualness,identifyd
codemix-0225,codemix_hallu-0144,hallucinated,inference,573 sale
codemix-0226,codemix_gold-0048,gold,gold,"25 January, 2012 sale"
codemix-0227,codemix_hallu-0155,hallucinated,specificity,Maccormick Foods Australia
codemix-0228,codemix_hallu-0130,hallucinated,inference,12 July 1977
codemix-0229,codemix_hallu-0060,hallucinated,factualness,448
codemix-0230,codemix_hallu-0056,hallucinated,factualness,cancerer
codemix-0231,codemix_hallu-0024,hallucinated,comprehension,Shajel
codemix-0232,codemix_hallu-0008,hallucinated,comprehension,Krishnopan Gangopadhyay
codemix-0233,codemix_hallu-0009,hallucinated,comprehension,13sh shotabdi te
codemix-0234,codemix_hallu-0109,hallucinated,inference,13sh shotabdi te
codemix-0235,codemix_hallu-0152,hallucinated,specificity,Barnet football club e
codemix-0236,codemix_hallu-0023,hallucinated,comprehension,Khadija binte Khuwaylid
codemix-0237,codemix_hallu-0140,hallucinated,inference,Saint Peters High School e
codemix-0238,codemix_gold-0029,gold,gold,Sheikh Nahianer
codemix-0239,codemix_gold-0047,gold,gold,2009 saler 2 July
codemix-0240,codemix_hallu-0174,hallucinated,specificity,Shajel
codemix-0241,codemix_hallu-0027,hallucinated,comprehension,Babylone
codemix-0242,codemix_hallu-0189,hallucinated,specificity,Takihiko Nakao
codemix-0243,codemix_hallu-0036,hallucinated,comprehension,6
codemix-0244,codemix_hallu-0058,hallucinated,factualness,Krishnopan Gangopadhyay
codemix-0245,codemix_hallu-0063,hallucinated,factualness,ask
codemix-0246,codemix_hallu-0071,hallucinated,factualness,2018
codemix-0247,codemix_hallu-0190,hallucinated,specificity,Saint Peters High School e
codemix-0248,codemix_hallu-0007,hallucinated,comprehension,1979 saler May mase
codemix-0249,codemix_hallu-0029,hallucinated,comprehension,11 ti
codemix-0250,codemix_hallu-0164,hallucinated,specificity,Dhire bohe Meghna
