[mistral_nemo] task=qa track=A  total=1000  done=997  todo=3
  [mistral_nemo] qa/A -> full_ecot_run/results/mistral_nemo/qa_gt_ecot.csv
[mistral_nemo] task=qa track=B  total=4000  done=196  todo=3804
  [mistral_nemo] qa/B  20/3804  rate=0.36/s  eta=175.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/4
  [mistral_nemo] qa/B  540/3804  rate=0.59/s  eta=91.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  560/3804  rate=0.60/s  eta=90.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  580/3804  rate=0.60/s  eta=89.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  600/3804  rate=0.60/s  eta=88.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  620/3804  rate=0.60/s  eta=88.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/1
  [mistral_nemo] qa/B  640/3804  rate=0.60/s  eta=88.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  660/3804  rate=0.60/s  eta=87.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  680/3804  rate=0.60/s  eta=86.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/0
  [mistral_nemo] qa/B  700/3804  rate=0.60/s  eta=86.3min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  720/3804  rate=0.60/s  eta=85.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  740/3804  rate=0.60/s  eta=84.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  760/3804  rate=0.60/s  eta=84.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  780/3804  rate=0.60/s  eta=83.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  800/3804  rate=0.61/s  eta=82.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  820/3804  rate=0.61/s  eta=81.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  840/3804  rate=0.61/s  eta=81.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/0
  [mistral_nemo] qa/B  860/3804  rate=0.61/s  eta=80.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  880/3804  rate=0.61/s  eta=79.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  900/3804  rate=0.61/s  eta=79.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  920/3804  rate=0.61/s  eta=78.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  940/3804  rate=0.61/s  eta=78.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  960/3804  rate=0.61/s  eta=77.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  980/3804  rate=0.61/s  eta=76.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1000/3804  rate=0.61/s  eta=76.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1020/3804  rate=0.61/s  eta=75.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/1
  [mistral_nemo] qa/B  1040/3804  rate=0.61/s  eta=74.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1060/3804  rate=0.62/s  eta=74.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1080/3804  rate=0.62/s  eta=73.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1100/3804  rate=0.62/s  eta=73.0min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  1120/3804  rate=0.62/s  eta=72.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1140/3804  rate=0.62/s  eta=71.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1160/3804  rate=0.62/s  eta=71.2min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  1180/3804  rate=0.62/s  eta=70.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1200/3804  rate=0.62/s  eta=70.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1220/3804  rate=0.62/s  eta=69.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1240/3804  rate=0.62/s  eta=68.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1260/3804  rate=0.62/s  eta=68.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/1
  [mistral_nemo] qa/B  1280/3804  rate=0.62/s  eta=67.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1300/3804  rate=0.62/s  eta=67.3min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  1320/3804  rate=0.62/s  eta=66.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1340/3804  rate=0.62/s  eta=66.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1360/3804  rate=0.62/s  eta=65.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1380/3804  rate=0.62/s  eta=65.0min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  1400/3804  rate=0.62/s  eta=64.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/0
  [mistral_nemo] qa/B  1420/3804  rate=0.62/s  eta=64.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1440/3804  rate=0.62/s  eta=63.6min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  1460/3804  rate=0.62/s  eta=62.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1480/3804  rate=0.62/s  eta=62.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1500/3804  rate=0.62/s  eta=62.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1520/3804  rate=0.62/s  eta=61.6min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  1540/3804  rate=0.62/s  eta=61.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1560/3804  rate=0.62/s  eta=60.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1580/3804  rate=0.62/s  eta=60.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1600/3804  rate=0.62/s  eta=59.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1620/3804  rate=0.62/s  eta=58.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1640/3804  rate=0.62/s  eta=58.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1660/3804  rate=0.62/s  eta=58.0min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  1680/3804  rate=0.62/s  eta=57.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1700/3804  rate=0.62/s  eta=56.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1720/3804  rate=0.62/s  eta=56.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1740/3804  rate=0.62/s  eta=55.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1760/3804  rate=0.62/s  eta=55.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1780/3804  rate=0.62/s  eta=54.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/0
  [mistral_nemo] qa/B  1800/3804  rate=0.62/s  eta=53.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1820/3804  rate=0.62/s  eta=53.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1840/3804  rate=0.62/s  eta=52.8min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  1860/3804  rate=0.62/s  eta=52.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1880/3804  rate=0.62/s  eta=51.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1900/3804  rate=0.62/s  eta=51.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1920/3804  rate=0.62/s  eta=50.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1940/3804  rate=0.62/s  eta=50.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  1960/3804  rate=0.62/s  eta=49.5min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  1980/3804  rate=0.62/s  eta=48.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2000/3804  rate=0.62/s  eta=48.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2020/3804  rate=0.62/s  eta=47.8min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  2040/3804  rate=0.62/s  eta=47.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2060/3804  rate=0.62/s  eta=46.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2080/3804  rate=0.62/s  eta=46.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2100/3804  rate=0.62/s  eta=45.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2120/3804  rate=0.62/s  eta=45.0min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  2140/3804  rate=0.62/s  eta=44.5min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  2160/3804  rate=0.62/s  eta=43.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2180/3804  rate=0.62/s  eta=43.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2200/3804  rate=0.62/s  eta=42.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2220/3804  rate=0.62/s  eta=42.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2240/3804  rate=0.62/s  eta=41.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2260/3804  rate=0.62/s  eta=41.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2280/3804  rate=0.63/s  eta=40.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2300/3804  rate=0.63/s  eta=40.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2320/3804  rate=0.63/s  eta=39.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2340/3804  rate=0.63/s  eta=38.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2360/3804  rate=0.63/s  eta=38.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2380/3804  rate=0.63/s  eta=37.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2400/3804  rate=0.63/s  eta=37.3min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  2420/3804  rate=0.63/s  eta=36.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2440/3804  rate=0.63/s  eta=36.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2460/3804  rate=0.63/s  eta=35.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2480/3804  rate=0.63/s  eta=35.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2500/3804  rate=0.63/s  eta=34.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2520/3804  rate=0.63/s  eta=34.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2540/3804  rate=0.63/s  eta=33.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2560/3804  rate=0.63/s  eta=32.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2580/3804  rate=0.63/s  eta=32.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2600/3804  rate=0.63/s  eta=31.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2620/3804  rate=0.63/s  eta=31.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2640/3804  rate=0.63/s  eta=30.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2660/3804  rate=0.63/s  eta=30.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2680/3804  rate=0.63/s  eta=29.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2700/3804  rate=0.63/s  eta=29.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2720/3804  rate=0.63/s  eta=28.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/0
  [mistral_nemo] qa/B  2740/3804  rate=0.63/s  eta=28.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2760/3804  rate=0.63/s  eta=27.5min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  2780/3804  rate=0.63/s  eta=27.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2800/3804  rate=0.63/s  eta=26.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2820/3804  rate=0.63/s  eta=25.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2840/3804  rate=0.63/s  eta=25.4min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  2860/3804  rate=0.63/s  eta=24.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2880/3804  rate=0.63/s  eta=24.3min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  2900/3804  rate=0.63/s  eta=23.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2920/3804  rate=0.63/s  eta=23.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2940/3804  rate=0.63/s  eta=22.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2960/3804  rate=0.63/s  eta=22.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  2980/3804  rate=0.63/s  eta=21.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3000/3804  rate=0.63/s  eta=21.2min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  3020/3804  rate=0.63/s  eta=20.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3040/3804  rate=0.63/s  eta=20.1min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  3060/3804  rate=0.63/s  eta=19.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3080/3804  rate=0.63/s  eta=19.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3100/3804  rate=0.63/s  eta=18.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3120/3804  rate=0.63/s  eta=18.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3140/3804  rate=0.63/s  eta=17.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3160/3804  rate=0.63/s  eta=16.9min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  3180/3804  rate=0.63/s  eta=16.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3200/3804  rate=0.63/s  eta=15.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3220/3804  rate=0.63/s  eta=15.4min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  3240/3804  rate=0.63/s  eta=14.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3260/3804  rate=0.63/s  eta=14.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3280/3804  rate=0.63/s  eta=13.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3300/3804  rate=0.63/s  eta=13.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3320/3804  rate=0.63/s  eta=12.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3340/3804  rate=0.63/s  eta=12.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3360/3804  rate=0.63/s  eta=11.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3380/3804  rate=0.63/s  eta=11.2min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  3400/3804  rate=0.63/s  eta=10.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3420/3804  rate=0.63/s  eta=10.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3440/3804  rate=0.63/s  eta=9.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3460/3804  rate=0.63/s  eta=9.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/2
  [mistral_nemo] qa/B  3480/3804  rate=0.63/s  eta=8.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3500/3804  rate=0.63/s  eta=8.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3520/3804  rate=0.63/s  eta=7.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3540/3804  rate=0.63/s  eta=6.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3560/3804  rate=0.63/s  eta=6.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3580/3804  rate=0.63/s  eta=5.9min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3600/3804  rate=0.63/s  eta=5.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/2
  [mistral_nemo] qa/B  3620/3804  rate=0.63/s  eta=4.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/2
  [mistral_nemo] qa/B  3640/3804  rate=0.63/s  eta=4.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3660/3804  rate=0.63/s  eta=3.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3680/3804  rate=0.63/s  eta=3.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3700/3804  rate=0.63/s  eta=2.7min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3720/3804  rate=0.63/s  eta=2.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3740/3804  rate=0.63/s  eta=1.7min  last: verdict_model=no  agg=no  sup/con/mis=1/0/0
  [mistral_nemo] qa/B  3760/3804  rate=0.63/s  eta=1.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3780/3804  rate=0.63/s  eta=0.6min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] qa/B  3800/3804  rate=0.63/s  eta=0.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B  3804/3804  rate=0.63/s  eta=0.0min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] qa/B -> full_ecot_run/results/mistral_nemo/qa_hallu_ecot.csv
[mistral_nemo] task=summarization track=A  total=1000  done=0  todo=1000
  [mistral_nemo] summarization/A  20/1000  rate=0.26/s  eta=63.6min  last: verdict_model=no  agg=no  sup/con/mis=2/0/0
  [mistral_nemo] summarization/A  40/1000  rate=0.25/s  eta=63.0min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/3
  [mistral_nemo] summarization/A  60/1000  rate=0.26/s  eta=60.0min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] summarization/A  80/1000  rate=0.24/s  eta=63.3min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/A  100/1000  rate=0.24/s  eta=62.5min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] summarization/A  120/1000  rate=0.24/s  eta=62.2min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] summarization/A  140/1000  rate=0.24/s  eta=59.8min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/A  160/1000  rate=0.24/s  eta=58.8min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/2
