blind_id,bengali_context,bengali_question,bengali_answer,banglish_context,banglish_question,banglish_answer,meaning_preserved,naturalness_1to5
conversion-0020,"১৯৪৮ সালে জাতিসংঘ শান্তিরক্ষা মিশন শুরু হয়। এর প্রথম মিশন ছিল ১৯৪৮ সালে মধ্যপ্রাচ্যে ১৯৪৮ আরব-ইসরায়েলি যুদ্ধের সময় যুদ্ধবিরতি পালন ও বজায় রাখা। তারপর থেকে, জাতিসংঘের শান্তিরক্ষীরা বিশ্বব্যাপী প্রায় ৬৩টি মিশনে অংশগ্রহণ করেছে, ১৭টি আজও অব্যাহত রয়েছে। ১৯৮৮ সালে সংস্থাটি শান্তিতে নোবেল লাভ করে।",জাতিসংঘ শান্তিরক্ষা মিশন প্রথম কোথায় শুরু হয় ?,মধ্যপ্রাচ্যে,"1948 sale Jatisongho shantirokkha mission shuru hoy. Er prothom mission chilo 1948 sale Moddhoprachye 1948 Arab-Israeli juddher shomoy juddho-biroti palon o bojay rakha. Tarpor theke, Jatisongher shantirokkhira bishwobyapi pray 63ti missione ongshogrohon koreche, 17ti ajo obbyahoto royeche. 1988 sale songsthati shantite Nobel lav kore.",Jatisongho shantirokkha mission prothom kothay shuru hoy?,Maddhoprachche,,
conversion-0021,"মানুষ বর্তমান পৃথিবীর সবচেয়ে প্রভাবশালী জীব। আধুনিক মানুষ (হোমো স্যাপিয়েন্স, প্রাথমিকভাবে এসএসপি হোমো স্যাপিয়েন্স স্যাপিয়েন্স) হল হোমিনিনা উপজাতির (অথবা মানব জাতিগোষ্ঠী) একমাত্র বিদ্যমান সদস্য যা বানর পরিবারের অন্তর্গত হোমিনিনি গোত্রের একটি শাখা। তাদের বৈশিষ্ট হল স্থির অবস্থান এবং গতিশক্তি; অন্যান্য প্রাণীর তুলনায় উচ্চ দক্ষতাসম্পন্ন এবং ভারী সরঞ্জাম ব্যবহারে সক্ষমতা; আকারে বৃহত্তর ও জটিল মস্তিষ্ক এবং সামাজিক প্রাণী।[2][3]",মানুষ কোন গোত্রের প্রাণী ?,হোমিনিনি,"Manush bortoman prithibir shobcheye probhabshali jib. Adhunik manush (Homo sapiens, prothomikvabe SSP Homo sapiens sapiens) holo Hominina upojatir (othoba manob jati goshthi) ekmatro bidyoman sodossho ja banor poribarer ontorgoto Hominini gotrer ekta shakha. Tader boishishto holo sthir obosthan ebong gotishokti; onnanno pranir tulonay uccho dokkhota somponno ebong bhari soronjam byabohare sokkhomota; akare brihottor o jotil mostishko ebong samajik prani.[2][3]",Manush kon gotrer prani?,hominini,,
conversion-0022,"একটি মুখ আকৃতির তথ্য ক্যাপচার করার জন্য ত্রি-মাত্রিক মুখ শনাক্তকরণ কৌশলটি থ্রি-ডি সেন্সর ব্যবহার করে। এই তথ্যটি তারপর মুখের পৃষ্ঠের বিভিন্ন বৈশিষ্ট্য শনাক্ত করার জন্য ব্যবহার করা হয়, যেমন চোখের সকেটস, নাক এবং চিবুকের কনট্যুর।[8]",মুখমণ্ডল শনাক্তকরণ পদ্ধতিতে কোন সেন্সর ব্যাবহার করা হয় ?,থ্রি-ডি সেন্সর,"ekti mukh akritir tothyo capture korar jonno tri-matrik mukh shonaktokoron kousholti three-D sensor byabohar kore. Ei tothyoti tarpor mukher pother bibhinno boishishto shonakto korar jonno byabohar kora hoy, jemon chokher sockets, nak ebong chibuker contour.[8]",Mukhmondol shonaktokoron poddhotite kon sensor babohar kora hoy?,Three-D sensor,,
conversion-0023,"আলাউদ্দিন খিলজি ছিলেন খিলজি বংশের প্রতিষ্ঠাতা জালালুদ্দিন খিলজির ভাতিজা এবং জামাতা। বীরভূমদেরকে পরাজিত করে জালালুদ্দিন খিলজি যখন দিল্লি দখল করে নেন। তখন আলাউদ্দিন খিলজিকে আমির-ই-তুজুখ বা উদযাপন মন্ত্রী পদ দেওয়া হয়। ১২৯১ সালে জালালুদ্দিন খিলজি তার ভাতিজা আলাউদ্দিন খিলজির হাতে কারা্(কানপুরের নিকটবর্তী এক এলাকা)নামক অঞ্চলের শাসনভার তুলে দেন। ১২৯৬ সালে আলাউদ্দিন খিলজি বসিলা অবরোধ করে জালালুদ্দিন খিলজির কাছে থেকে আবাধ(উত্তর-প্রদেশ) দখল করে সেটা শাসন করা শুরু করেন। ১২৯৬ সালে দেভাগিরি অবরোধ করেন এবং জালালুদ্দিনের বিপুল পরিমানের সম্পদ দখল করে নেন।জালালুদ্দিন খিলজিকে হত্যা করে, তিনি দিল্লিতে নিজের শাসন প্রতিষ্ঠা করেন এবং পরবর্তীতে জালালুদ্দিনের ছেলের কাছ থেকে মুলতান দখল করে নেন।",খিলজি বংশের প্রতিষ্ঠাতা কে ?,জালালুদ্দিন খিলজি,"Alauddin Khilji chilen Khilji bongser protishthata Jalaluddin Khiljir bhatija ebong jamata. Birbhumderke porajit kore Jalaluddin Khilji jokhon Dilli dokhol kore nen, tokhon Alauddin Khiljike Amir-i-Tujukh ba udjapon montri pod deya hoy. 1291 sale Jalaluddin Khilji tar bhatija Alauddin Khiljir hate Kara (Kanpurer nikotoborti ek elaka) namok oncholer shashonbhar tule den. 1296 sale Alauddin Khilji Bosila oborodh kore Jalaluddin Khiljir kach theke Abadh (Uttar-Pradesh) dokhol kore seta shashon kora shuru koren. 1296 sale Devagiri oborodh koren ebong Jalaluddiner bipul porimaner shompod",Khilji bongser protisthata ke?,Jalaluddin Khilji,,
conversion-0024,"১৮৬১ সালের এপ্রিল মাসে কলিকাতা ট্রেনিং স্কুলের সেক্রেটারি মনোনীত হন বিদ্যাসাগর মহাশয়। এই বছর ডিসেম্বর মাসে হরিশ্চন্দ্র মুখোপাধ্যায়ের অকালপ্রয়াণে গ্রহণ করেন তাঁর সম্পদিত হিন্দু প্যাট্রিয়ট পত্রিকার পরিচালনভার। ১৮৬২ সালে কৃষ্ণদাস পালকে এই পত্রিকার সম্পাদক নিযুক্ত করেন তিনি। এই বছর তাঁর সম্পাদনায় প্রকাশিত হয় বাণভট্টের কাদম্বরী। মাইকেল মধুসূদন দত্ত তাঁকে উৎসর্গ করেন স্বরচিত বীরাঙ্গনা কাব্য। ১৮৬৩ সালে সরকার তাঁকে ওয়ার্ডস ইনস্টিটিউশনের পরিদর্শক নিযুক্ত করেন। উল্লেখ্য, ৮ থেকে ১৪ বছর বয়সী নাবালক জমিদারদের শিক্ষাদানের উদ্দেশ্যে ১৮৫৬ সালে এই ইনস্টিটিউশন প্রতিষ্ঠিত হয়। বাংলা ভাষায় রচিত প্রথম মৌলিক গদ্যরচনা 'প্রভাবতী সম্ভাষন' এ বছর রচিত হয়।  ১৮৬৪ সালে কলিকাতা ট্রেনিং স্কুলের নাম পরিবর্তন করে কলিকাতা মেট্রোপলিটান ইনস্টিটিউশন রাখা হয়। ৪ জুলাই ইংল্যান্ডের রয়্যাল এশিয়াটিক সোসাইটি তাঁকে সাম্মানিক সদস্য নির্বাচিত করে। খুব কম ভারতীয়ই এই বিরল সম্মানের অধিকারী হতে পেরেছিলেন। ২ আগস্ট ফ্রান্সে ঋণগ্রস্ত মাইকেল মধুসূদনের সাহায্যার্থে ১৫০০ টাকা প্রেরণ করেন তিনি। ১৮৬৫ সালের ১১ জানুয়ারি ওয়ার্ডস ইনস্টিটিউশনের পরিদর্শক হিসেবে বিদ্যাসাগর মহাশয় তাঁর প্রথম রিপোর্টটি পেশ করেন।",ঈশ্বরচন্দ্র বিদ্যাসাগরের লেখা প্রথম মৌলিক গ্রন্থের নাম কী ?,প্রভাবতী সম্ভাষন,"1861 saler April mase Kolikata Training School-er secretary mononito hon Vidyasagar mahashoy. Ei bochor December mase Harishchandra Mukhopadhyay-er akalproyane grohon koren tar sampadito Hindu Patriot potrikar porichalonar bhar. 1862 sale Krishnadas Pal-ke ei potrikar editor niyukto koren tini. Ei bochor tar sampadanay prokashito hoy Banabhatta-r Kadambari. Michael Madhusudan Dutta take utsorgo koren swarachito Birangana kabya. 1863 sale sarkar take Wards Institution-er poridorshok niyukto kore. Ullekhyo, 8 theke 14 bochor boyoshi nabalok zamindarder shikkhadaner uddeshe 1856 sale ei Institution protishthito hoy. Bangla bhasay rochito prothom",Ishwarchandra Vidyasagorer lekha prothom moulik granther nam ki?,Probhaboti sombhashon,,
conversion-0025,"প্রতুলচন্দ্র সরকার ১৯১৩ সালের ২৩ ফেব্রুয়ারি বর্তমান বাংলাদেশের (পূর্বে: বেঙ্গল, ব্রিটিশ ভারত) টাঙ্গাইল জেলার অশোকপুর গ্রামে একটি দরিদ্র পরিবারে জন্মগ্রহন করেন।[1][2] তিনি শিবনাথ উচ্চ বিদ্যালয়ে লেখাপড়া করেন। তিনি তার জাদুবিদ্যার প্রাথমিক ধারণা নেন গণপতি চক্রবর্তীর কাছ থেকে। তার জাদু ১৯৩০ সালের দিকে জনপ্রিয় হওয়া শরু হয়। তিনি কলকাতা, জাপান এবং আরো অনেক দেশেই জাদু দেখিয়েছেন।",বিখ্যাত জাদুকর পি সি চন্দ্র সরকারের জন্ম কোথায় হয় ?,"বর্তমান বাংলাদেশের (পূর্বে: বেঙ্গল, ব্রিটিশ ভারত) টাঙ্গাইল জেলার অশোকপুর গ্রামে","Protulchandra Sarkar 1913 saler 23 February bortoman Bangladesh-er (purbe: Bengal, British Bharat) Tangail jelar Ashokpur grame ekta doridro poribare jonmogrohon koren.[1][2] Tini Shibnath Uchcho Bidyaloye lekhapora koren. Tini tar jadubidyar prathomik dharona nen Ganapati Chakrabortir kach theke. Tar jadu 1930 saler dike jonopriyo howa shuru hoy. Tini Kolkata, Japan ebong aro onek deshei jadu dekhiyechen.",Bikhyato jadukor P C Chandra Sarkarer jonmo kothay hoy?,"Bortoman Bangladesh-er (purbe: Bengal, British Bharat) Tangail jelar Ashokpur grame",,
conversion-0026,"হিন্দু শব্দটি এসেছে (পার্সিয়ান হয়ে) সংস্কৃত শব্দ সিন্ধু (ঐতিহাসিক স্থানীয় সিন্ধু নদী বা ইন্ডাস্ রিভার) থেকে। এর অবস্থান ছিল ভারতীয় উপমহাদেশের উত্তরপশ্চিম অংশে (বর্তমানে পাকিস্তান এবং উত্তর ভারতের অংশে)।[5][lower-alpha 1] গেবিন ফ্লাডের মতে, ""আসল পরিভাষা হিন্দু প্রথম দেওয়া হয় পার্সিয়ান ভৌগোলিক পরিভাষা থেকে যা দ্বারা সিন্ধু নদীর পাশে বসবাসকারী লোকেদের বোঝানো হত[5]। শব্দটি দিয়ে তখন ভৌগোলিক অবস্থান বোঝানো হত এবং এর দ্বারা কোন ধর্মকে বোঝানো হত না।[lower-alpha 2]",হিন্দু শব্দের উৎপত্তি কোন শব্দ থেকে ?,সংস্কৃত শব্দ সিন্ধু,"Hindu shobdoti esheche (Persian hoye) Sanskrit shobdo Sindhu (oitihashik sthaniyo Sindhu nodi ba Indus River) theke. Er obosthan chilo Bharotiyo upomohodesher uttarposhchim angshe (bortomane Pakistan ebong uttar Bharoter angshe).[5][lower-alpha 1] Gebin Flood er mote, ""asal poribhasha Hindu prothom deya hoy Persian bhougolik poribhasha theke ja diye Sindhu nodir pashe boshobashkori lokeder bojhano hoto[5]. Shobdoti diye tokhon bhougolik obosthan bojhano hoto ebong er dara kono dhormoke bojhano hoto na.[lower-alpha 2]",Hindu shobder utpotti kon shobdo theke?,Sanskrit shobdo Sindhu,,
conversion-0027,"শহীদ স্মৃতি সংগ্রহশালা বাংলাদেশের প্রথম মুক্তিযুদ্ধভিত্তিক সংগ্রহশালা। স্বাধীনতা যুদ্ধে শিক্ষক, ছাত্র, কর্মচারীদের স্মৃতিচিহ্ন নিয়ে রাজশাহী বিশ্ববিদ্যালয়ের সবুজ চত্তরে গড়ে উঠেছে দেশের সর্বপ্রথম মুক্তিযুদ্ধবিষয়ক জাদুঘরটি। স্বাধীনতা যুদ্ধের ও ইতিহাসের বিভিন্ন উপকরণ সুষ্ঠুভাবে সংরক্ষণের উদ্দেশ্যে ১৯৭৬ সালে এই সংগ্রহশালাটি প্রতিষ্ঠিত হয় রাজশাহী বিশ্ববিদ্যালয় ক্যাম্পাসের শহীদ মিনার কমপ্লেক্স এলাকায়।[1]",কত সালে মুক্তিযুদ্ধ জাদুঘরের উদ্ভোধন হয়েছিল ?,১৯৭৬,"Shohid Smriti Songrohoshala Bangladesh-er prothom muktijuddhovittik songrohoshala. Swadhinota juddhe shikkhok, chatro, kormochari-der smritichinho niye Rajshahi Bishwabidyaloyer sobuj chottore gore utheche desher sorboprothom muktijuddho-bishoyok jadughor-ti. Swadhinota juddher o itihasher bibhinno upokoron susthubhabe songrokkhoner uddeshe 1976 sale ei songrohoshalati protishthito hoy Rajshahi Bishwabidyaloy campus-er Shohid Minar Complex elakay.[1]",koto shale Muktijuddho Jadughorer udbodhon hoyechilo?,1976,,
conversion-0028,"প্রাগৈতিহাসিক যুগে গণনার যন্ত্র উদ্ভাবিত বিভিন্ন প্রচেষ্টাকে কম্পিউটার ইতিহাস হিসেবে ধরা হয়। প্রাচীন কালে মানুষ একসময় সংখ্যা বুঝানোর জন্য ঝিনুক, নুড়ি, দড়ির গিট ইত্যাদি ব্যবহার করত। পরবর্তীতে গণনার কাজে বিভিন্ন কৌশল ও যন্ত্র ব্যবহার করে থাকলেও অ্যাবাকাস (Abacus) নামক একটি প্রাচীন গণনা যন্ত্রকেই কম্পিউটারের ইতিহাসে প্রথম যন্ত্র হিসেবে ধরা হয়। এটি আবিষ্কৃত হয় খ্রিষ্টপূর্ব ২৪০০ সালে ব্যাবিলনে। অ্যাবাকাস ফ্রেমে সাজানো গুটির স্থান পরিবর্তন করে গননা করার যন্ত্র। খ্রিস্টপূর্ব ৪৫০/৫০০ অব্দে মিশরে বা চীনে গননা যন্ত্র হিসেবে অ্যাবাকাস তৈরি হয়।",পৃথিবীর কোন দেশে সর্বপ্রথম কম্পিউটার ব্যাবহার শুরু হয় ?,ব্যাবিলনে,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylone. Abacus frame e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Prithibir kon deshe sorboprothom computer byabohar shuru hoy?,Babylone,,
conversion-0029,"মোহাম্মদ লুৎফর রহমান তৎকালীন ব্রিটিশ ভারত যশোর জেলার মাগুরা মহাকুমার (বর্তমান মাগুরা জেলা) পরনান্দুয়ালী গ্রামে ১৮৮৯ সালে জন্মগ্রহণ করেন। তার মাতা শামসুন নাহার এবং পিতা সরদার মইনউদ্দিন আহমদ,[2] যিনি একজন স্টেশন মাস্টার ছিলেন। এই দম্পতীর চার পুত্র ও এক কন্যার মধ্যে মোহাম্মদ লুৎফর রহমান একজন। তার পৈত্রিক নিবাস ছিল তৎকালীন যশোর জেলার মাগুরা মহাকুমার হাজীপুর গ্রামে।[2][4] লুত্ফর রহমানের পিতা ছিলেন এফ.এ পাস। ইংরেজি ভাষা ও ইংরেজি সাহিত্যের প্রতি তার পিতার অনুরাগ ছিল। সম্ভবত একারণেই পিতার অনুরাগ লুৎফর রহমানের মাঝে প্রতিভাস হয়েছিল।[5]",মোহাম্মদ লুৎফর রহমানের বাবার নাম কী ?,সরদার মইনউদ্দিন আহমদ,"Mohammad Lutfor Rahman totkalin British Bharat Jashore jelar Magura mohakumar (bortoman Magura jela) Pornanduyali grame 1889 sale jonmogrohon koren. Tar mata Shamsun Nahar ebong pita Sardar Moinuddin Ahmad,[2] jini ekjon station master chilen. Ei dompotir char putro o ek konnar moddhe Mohammad Lutfor Rahman ekjon. Tar poitrik nibas chilo totkalin Jashore jelar Magura mohakumar Hajipur grame.[2][4] Lutfor Rahmaner pita chilen F.A pass. Ingreji bhasha o Ingreji sahityer proti tar pitar onurag chilo. Somvoboto e karonei pitar onurag Lutfor Rahmaner majhe protibhash hoyechilo.[5]",Mohammad Lutfor Rahman er babar nam ki?,Sordar Moinuddin Ahmed,,
conversion-0030,সাড়ে ৪১ একর জায়গাজুড়ে বিস্তৃত প্রাসাদটি পরিখা ও উঁচু প্রাচীরঘেরা। প্রাসাদের পূর্বপাশে পিরামিড আকৃতির চারতলা প্রবেশদ্বার রয়েছে যা উপরের দিকে সরু হয়ে গেছে এবং এর উপরে একটি ঘড়িও রয়েছে। মধ্যযুগীয় বাংলাদেশের অন্যান্য সামন্ত প্রাসাদের মতোই নাটোরের রাজবাড়িতে রয়েছে দীর্ঘ প্রবেশ পথ যার দু ধারে বোতল পামের সুবিন্যাস লক্ষণীয়। নাটোরের ঐতিহাসিক দিঘাপতিয়ার রাজবাড়ি বর্তমানে উত্তরা গণভবন। প্রায় তিনশত বছরের প্রাচীন ঐতিহাসিক ঐতিহ্যবাহী দিঘাপতিয়া রাজবাড়িটি নাটোরের উত্তরা গণভবন নামে পরিচিত। বাংলাদেশের প্রাচীন ঐতিহাসিক নিদর্শনগুলোর মধ্যে অন্যতম নাটোরের দিঘাপতিয়া রাজবাড়ি বা  উত্তরা গণভবন। দিঘাপতিয়া রাজবংশের প্রতিষ্ঠাতা ছিলেন দয়ারাম রায়। তিনি নাটোরের রাজা-মহারাজ রামজীবনের একান্ত অনুগত একজন দেওয়ান ছিলেন। নাটোর রাজ্যের উত্থানে দয়ারাম রায় অসামান্য ভূমিকা রাখায় ১৭০৬ সালের দিকে রাজা রামজীবন উপহার হিসেবে বাসস্থানের জন্য তাকে দিঘাপতিয়ায় কিছু জমি দান করেন। পরে জমিদার ও রাজা হওয়ার পর ১৭৩৪ সালে দয়ারাম রায় দিঘাপতিয়া রাজবংশের প্রতিষ্ঠা করেন।,দীঘাপতিয়া রাজবংশ কবে প্রতিষ্ঠিত হয় ?,১৭৩৪ সালে,Sare 41 ekor jaygajure bistrito prasadti porikha o unchu prachirghera. Prasader purbopashe pyramid akritir chartola probeshdwar royeche ja uparer dike soru hoye geche ebong er upore ekta ghori-o royeche. Madhyajugiyo Bangladesher onnanno samonto prasader motoi Natore-r Rajbarite royeche dirgho probesh poth jar du dhare bottle palm-er subinnyash lokkhoniyo. Natore-r oitihashik Dighapatia-r Rajbari bortomane Uttora Gonobhobon. Pray tinshot bochorer prachin oitihashik oitijjobahi Dighapatia Rajbariti Natore-r Uttora Gonobhobon name porichito. Bangladesher prachin oitihashik nidorshong,Dighapatia rajbongsho kobe protishthito hoy?,1734 shale,,
conversion-0031,"নর্স পুরাণ প্রাথমিক ভাবে সংযুক্ত করা হয়েছে প্রাচীন নর্স কথ্য ভাষার সাথে, একটি উত্তর জার্মানিয় ভাষা যা ইউরোপীয় মধ্যযুগে স্ক্যান্ডিনেভিয়ার লোকেরা কথা বলতো, এবং এটা আধুনিক স্ক্যান্ডিনেভিয়ার ভাষার পূর্বপুরুষ। এই  প্রাচীন নর্স গ্রন্থের অধিকাংশ আইসল্যান্ডে সৃষ্টি হয়েছিল, যেখানে এর কথ্যরীতি, যা প্রাক-খ্রিষ্টান আদিবাসদের থেকে উদ্ভত, সংগৃহীত করা হয়েছিল এবং বিভিন্ন পাণ্ডুলিপিতে নথিবদ্ধ করা হয়েছিল। এইগুলো প্রাথমিক ভাবে ১৩শ শতাব্দীতে করা হয়েছিল। এই গ্রন্থসমূহদের মধ্যে ছিল প্রোস এড্ডা (Prose Edda), যা ১৩শ শতাব্দীতে স্নোরী স্টার্লসন দ্বারা রচিত হয়েছিল, এবং পোয়েটিক এড্ডা (Poetic Edda), আরম্ভিক ঐতিহ্যবাহী বিষয়সমূহ দ্বারা কবিতার সংকলন যা ১৩শ শতাব্দীতে অজ্ঞাত দ্বারা প্রণীত হয়েছিল।[1]",নর্স পুরাণ কবে রচিত হয় ?,১৩শ শতাব্দীতে,"Norse puran prothomik vabe songjukto kora hoyeche prachin Norse kothyo vashar sathe, ekta uttar Germanic vasha ja European moddhojug e Scandinaviar lokera kotha bolto, ebong eta adhunik Scandinaviar vashar purbopurush. Ei prachin Norse gronther odhikangsho Iceland e srishti hoyechilo, jekhane er kothyoriti, ja prak-Khrishtan adibashider theke udbhut, songroho kora hoyechilo ebong bibhinno pandulipite nothiboddho kora hoyechilo. Eigulo prothomik vabe 13sh shotabdite kora hoyechilo. Ei gronthosomuher moddhe chilo Prose Edda, ja 13sh shotabdite Snorri Sturluson dara rochito",Norse puran kobe rochito hoy?,13sh shotabdi te,,
conversion-0032,"১৯৯৭ সালে হ্যারি পটার অ্যান্ড দ্য ফিলোসফার্স স্টোন (আমেরিকাতে হ্যারি পটার অ্যান্ড সরসারার্স স্টোন নামে প্রকাশিত) নামে এই সিরিজের প্রথম বই প্রকাশিত হয়। প্রকাশিত হওয়ার পর থেকেই এই সিরিজের বইগুলি রচনার শৈল্পিক উৎকর্ষের জন্য সমালোচকদের কাছে প্রশংসিত হয়েছে এবং সারাবিশ্বের পাঠকমহলে তুমুল জনপ্রিয়তা ও ব্যবসায়িক সাফল্য অর্জন করেছে।[1] বইয়ের রাজ্যের পাশাপাশি সিনেমা ও ভিডিও গেমসের দুনিয়ায়ও আলোড়ন সৃষ্টি করেছে। ২০০৭ সালের এপ্রিল মাস পর্যন্ত সাতটি বইয়ের প্রথম ছয়টি বই সারা পৃথিবীতে ৩২৫ মিলিয়ন কপিরও বেশি বিক্রী হয়েছে[2] এবং ৬৪টিরও অধিক ভাষায় অনূদিত হয়েছে।[3] শুধুমাত্র কুরআন ,বাইবেল এবং বুক অব মরমন (মরমনদের ধর্মগ্রন্থ) ছাড়া আর কোন বইয়ের এই রেকর্ড নেই।[4] এই সিরিজের সপ্তম ও সর্বশেষ বই, হ্যারি পটার অ্যান্ড দ্য ডেথলি হ্যালোস, প্রকাশিত হয়েছে ২০০৭ সালের ২১ জুলাই।[5] প্রকাশকেরা শুধু মার্কিন যুক্তরাষ্ট্রেই বইটির রেকর্ড-ভঙ্গকারী ১২ মিলিয়ন কপি বিক্রির ঘোষণা দিয়েছেন।[6]",হ্যারি পটার উপন্যাসটির সর্বশেষ সিরিজটির নাম কী ?,হ্যারি পটার অ্যান্ড দ্য ডেথলি হ্যালোস,1997 shale Harry Potter and the Philosopher's Stone (Americate Harry Potter and Sorcerer's Stone name prokashito) name ei series-er prothom boi prokashito hoy. Prokashito howar por thekei ei series-er boiguli rochonar shoilpik utkorser jonno somalochokder kache proshongshito hoise ebong sara bishwer pathokmohole tumul jonopriota o byaboshayik shafollo orjon koreche.[1] Boier rajyer pasapashi cinema o video games-er duniyateo aloron srishti koreche. 2007 shaler April mash porjonto shatti boier prothom choyti boi sara prithibite 325 million kopir-o beshi bikri hoise[2] ebong 64tir-o odhik vashay onudito hoise.[3],Harry Potter uponnash-tar shorbosesh series-tar nam ki?,Harry Potter and the Deathly Hallows,,
conversion-0033,"বিশ্বের ইতিহাস বলতে এখানে পৃথিবী নামক গ্রহে বসবাসকারী  মানবজাতির ইতিহাস বোঝানো হয়েছে, গ্রহ হিসেবে পৃথিবীর ইতিহাস নয়। মানুষের ইতিহাস মূলত পুরাপ্রস্তর যুগে পৃথিবী জুড়ে শুরু হয়।  আদিম যুগ থেকে প্রাপ্ত সকল প্রত্নতাত্ত্বিক ও লিখিত দলিল এর আওতাভুক্ত। লিখন পদ্ধতি আবিষ্কারের মধ্য দিয়ে প্রাচীন প্রামাণ্য ইতিহাসের[1] শুরু হয়।[2][3] যদিও লিখন পদ্ধতি আবিষ্কারের পূর্ববর্তী যুগেও সভ্যতার নিদর্শন পাওয়া গেছে। প্রাগৈতিহাসিক যুগের সূচনা ঘটে পুরাপ্রস্তর যুগে। সেখান থেকে সভ্যতা প্রবেশ করে নব্যপ্রস্তর যুগে এবং এসময় কৃষি বিপ্লবের (খ্রিস্টপূর্ব ৮০০০-খ্রিস্টপূর্ব ৫০০০ অব্দ) সূচনা ঘটে। নব্যপ্রস্তর যুগের বিপ্লবে উদ্ভিদ ও পশুর গৃহপালন এবং নিয়মানুগ কৃষিপদ্ধতি রপ্ত করা মানব সভ্যতার একটি অনন্য মাইলফলক হিসেবে চিহ্নিত।[4][5][6] কৃষির উন্নয়নের সঙ্গে সঙ্গে বেশির ভাগ মানুষ যাযাবর জীবনযাত্রা ত্যাগ করে স্থায়ীভাবে কৃষকের জীবন গ্রহণ করে। তবে বহু সমাজে যাযাবর জীবনব্যবস্থা রয়ে যায়, বিশেষ করে ভৌগোলিকভাবে বিচ্ছিন্ন অঞ্চলগুলিতে ও যেখানে আবাদযোগ্য উদ্ভিদ প্রজাতির অভাব ছিল। কৃষি থেকে প্রাপ্ত খাদ্য নিরাপত্তা ও উদ্বৃত্ত উৎপাদনের ফলে গোষ্ঠীগুলি ধীরে ধীরে বৃদ্ধি পেয়ে আরও বড় সামাজিক প্রতিষ্ঠানের জন্ম দেয়। যোগাযোগ ব্যবস্থার উন্নয়নও এক্ষেত্রে একটি উল্লেখযোগ্য ভূমিকা রাখে।",পুরাপ্রস্তর যুগের পর কোন যুগের আবির্ভাব হয়েছিল ?,নব্যপ্রস্তর,"Bishwer itihash bolte ekhane Prithibi namok grohe boshobashkari manobjatir itihash bojhano hoyeche, groho hisebe Prithibir itihash noy. Manusher itihash muloto puraprostor juge Prithibi jure shuru hoy. Adim jug theke prapto shokol protnotattwik o likhito dolil er awtavukto. Likhon poddhoti abishkarer moddho diye prachin pramanyo itihasher[1] shuru hoy.[2][3] Jodio likhon poddhoti abishkarer purboborti jugeo shobhyotar nidorshon paoa geche. Pragaitihashik juger suchona ghote puraprostor juge. Sekhan theke shobhyota probesh kore nobyoprostor juge ebong eshomoy",Puraprostor juger por kon juger abirbhab hoyechilo?,nobyo-prostor,,
conversion-0034,"গ্রহের খনিজ সম্পদ ও জৈব সম্পদ উভয়ই মানবজাতির জীবনধারণের জন্য অপরিহার্য। এই গ্রহের অধিবাসীরা প্রায় ২০০টি স্বাধীন সার্বভৌম রাষ্ট্রে সমগ্র গ্রহটিকে বিভক্ত করে বসবাস করছে। এই সকল রাষ্ট্রের মধ্যে পারস্পরিক কূটনৈতিক, পর্যটন, বাণিজ্যিক ও সামরিক সম্পর্ক বিদ্যমান। মানব সংস্কৃতি গ্রহ সম্পর্কে বিভিন্ন ধারণার জন্মদাতা। এই সব ধারণার মধ্যে রয়েছে পৃথিবীকে দেবতা রূপে কল্পনা, সমতল বিশ্ব কল্পনা এবং পৃথিবীকে মহাবিশ্বের কেন্দ্ররূপে কল্পনা। এছাড়া একটি সুসংহত পরিবেশ রূপে বিশ্বকে কল্পনা করার আধুনিক প্রবণতাও লক্ষিত হয়। এই ধারণাটি বর্তমানে প্রাধান্য অর্জন করেছে।",পৃথিবীতে বর্তমানে মোট কয়টি দেশ রয়েছে ?,২০০,"Groher khonij shompod o joib shompod ubhoyi manobjatir jibondharoner jonno oporiharjo. Ei groher odhibashira pray 200ti shadhin sarbovhoum rastre shomogro grohtike bivokto kore boshobash korche. Ei shokol rastorer moddhe parosporik kutonitik, porjoton, banijjik o shamorik shomporko bidyoman. Manob shongskriti groho shomporke bibhinno dharonar jonmodata. Ei sob dharonar moddhe royeche prithibike debota rupe kolpona, shomotol bishwo kolpona ebong prithibike mohobishwer kendrorupe kolpona. Echara ekti susonghoto poribesh rupe bishwoke kolpona korar adhunik probonotao",Prithibite bortomane mot koyti desh royeche?,200,,
