blind_id,context,question,answer,is_hallucinated
codemix-0018,"ekti mukh akritir tothyo capture korar jonno tri-matrik mukh shonaktokoron kousholti three-D sensor byabohar kore. Ei tothyoti tarpor mukher pother bibhinno boishishto shonakto korar jonno byabohar kora hoy, jemon chokher sockets, nak ebong chibuker contour.[8]",Mukhmondol shonaktokoron poddhotite kon sensor babohar kora hoy?,Fingerprint sensor babohar kora hoy.,
codemix-0019,"Rabindranath Thakur Subhashchandrake 'Deshnayak'[7] akhya diye Taser Desh nrityonattyoti take utsorgo koren. Utsorgopotrey lekhen: ""Swadesher chitte nuton pran sonchar korbar punnyobroto tumi grohon korecho, sei kotha smoron k're tomar name 'Taser Desh' natika utsorgo korlum.""[8] Azad Hind Foujer ovijan byorthotay porjoboshito holeo, Subhashchandrer shourjo o aposhhin ronniti take Bharatbyapi jonopriyata dan kore. Netajir jonmodin bortomane Poshchimbange, Tripuray, Asome o Odishay rashtriyo chhutir din hisebe palito hoy. Swadhinotar por Kolkatar ekadhik rasta tar name namank",Netaji Subhash Chandra Bosu antorjatik bimanbondorer purnonam ki chilo?,"Netaji Subhash Chandra Bosu antorjatik bimanbondorer purnonam chilo **Deshnayak Taser Desh Bimanbondor**, karon Rabindranath Thakur take ""Deshnayak"" bolechhilen.",
codemix-0020,"1885 saler prarombhe tini clergyman's throat roge akranto hon; krome ei rog golar cancer-er akar dharon kore. Kolkatar Shyampukur onchole take niye asha hoy. Bishishto chikitsok Mahendralal Sarkar tar chikitsay niyukto hon. Obostha shongkotjonok hole 11 December, 1885 tarikh-e take sthanantorito kora hoy Kashipurer ek birat baganbarite.[94]",Ramakrishna Paramahansher kon roger karone mrittu hoy?,"Tini prathome clergyman's throat roge akranto chhilen, tai dhora jay je tar mrittu oi golar jatil roger karone hoy.",
codemix-0021,"Qatarer rajniti ekta porom rajtantra kathamo-y songhotito hoy. Qatarer Amir holen ekadhare rashtrer prodhan o sarkar prodhan Tamim bin Hamad Al Thani, 2013 sale tar pita Hamad bin Khalifa Al Thanir hat theke khomota grohon koren. 1995 sal theke deshtir Amir chilen Hamad bin Khalifa Al Thani. Abdullah bin Nasser bin Khalifa Al Thani 2013 sal theke deshtir prodhanmontri. Qatarer mot jonoshonkha 1.8 million. Qatar bishwer onnotomo sorbocho mathapichu aayer rashtra. Saudi Arab, Oman er por Qatar onnotomo rokkhonshil rashtra. Qatarer nagorik sujog subidhar man khuboi unnoto.",Qatarer bortoman (2019) jonoshonkha koto?,1.8 million,
codemix-0022,"E porjonto onushthito 21ti asore kebol 8ti jatio dol World Cup shiropa jiteche. Bortoman shiropadhari champion France. Ditiyobar joyi 1998, 2018. 5 bar World Cup jite Brazil hocche World Cup-er sofoltom dol. Germany o Italy 4ti shiropa niye jouthovabe ditiyo obosthane royeche. Onnoder moddhe Uruguay (prothom World Cup joyi), Argentina o France duibar kore ebong England o Spain ekbar kore shiropa jiteche.",2018 sal porjonto Argentina mot kotobar FIFA World Cup jiteche?,ekbar,
codemix-0023,Aorongojeb tar purbosurider tulonay onek onarombor chilen. Tini Islamic calligraphy pochondo korten. Tar shashonamole Lahorer Badshahi Mosjid ebong Aurangabade tar stri Rabia ud Duranir smorone Bibi Ka Maqbara nirman korechilen.,Aurangzeb er strir nam ki chilo?,Aurangzeb er strir nam chhilo Dilras Banu Begum.,
codemix-0024,"Brock Edward Lesnar [1] (/ˈlɛznər/; jonmo 12 July 1977)[1] ekjon American peshadar kustigir ebong purbe opeshadar kustigir, peshadar American football kheloyar, ebong mishro martial artist,[2] bortomane se WWE er WWE Raw brander sathe chuktiboddho achen.[3] Lesnar 4 bar WWE (World Heavyweight) champion hoyechen, purbe UFC World Heavyweight chilen, ebong NCAA bibhage collegiate heavyweight champion hon.[4][5]",Peshadar kustigir Brock Lesnar kobe jonmogrohon koren?,Brock Lesnar jonmogrohon koren 14 July 1977.,
codemix-0025,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylone. Abacus frame e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Prithibir kon deshe sorboprothom computer byabohar shuru hoy?,"Sorboprothom computer byabohar shuru hoy Chine, karon Abacus sekhanei gononar jonno prothom toiri hoy bole dhora hoy.",
codemix-0026,"Al Mansur 95 Hijri sone (714 Khrishtabdo) Abbasiyo poribare jonmogrohon koren. Tar pita Muhammad chilen Nabi Muhammad (sa:) er chacha Abbas ibne Abdul Muttaliber pro-poutra; 14sh shotabdie Murish itihashbid Ali ibn Abdullah rochito Raud al Kirtas grontho onujayi tar ma ekjon Barbar bongshiyo nari chilen.[4] Tini 136 Hijrir Zilhajj theke 158 Hijrir Zilhajj (754 Khrishtabdo – 775 Khrishtabdo) porjonto shashon koren. 762 Khrishtabde tini tar notun rajkiyo abasosthol o prasad hisebe Madinatus Salam (Shantir shohor) protistha koren, ja porobortite rajkiyo rajdhani Bagdader mulkendro te",Abu Jafar Abdallah ibne Muhammad Al Monsurer babar nam ki?,Muhammad,
codemix-0027,Khadija binte Khuwaylid (Arabic: Khadija bint Khuwaylid) holen Islam grohonkari prothom bekti ebong ei mohabishwer sorbosesh Nabi Muhammad (s.) er prothom stri.[1] Tar kuniya Ummu Hind ebong upadhi Tahira. Islam grohoner agei pobitro choritrer jonno Tahira upadhi lav koren; jar ortho pobitro.[2],Nobi Muhammad er prothom strir nam ki?,Nobi Muhammad er prothom strir nam chhilo Sawda bint Zam'a.,
codemix-0028,Abdul Jabbar 1938 saler 10 February totkalin British Bharoter (bortoman Bangladesh) Kushtia jelay jonmogrohon koren. [5][6] 1956 sale tini metric porikkhay uttirno hon.[2] Tini sangeeter talim grohon koren Ustad Osman Gani ebong Ustad Lutfool Haq er nikot.[7],Bangladeshi shongeet shilpi Abdul Jabbar kobe jonmogrohon koren?,Abdul Jabbar 1956 shale jonmogrohon koren.,
codemix-0029,"The Shawshank Redemption 1994 saler Markin mohakabyik natyo cholocchitro. Frank Darabont porichalito ei cholocchitre obhinoy korechen Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore promukh. Million voter (10-er moddhe 9.3) upor vitti kore IMDb-r ""Top 250"" cholocchitrer moddhe eti #1 nombore royeche ebong sorbokaler sera cholocchitro hisebe bibechito.",The Shawshank Redemption cholochitroti-r nirmata ke?,The Shawshank Redemption-er nirmata chhilen Morgan Freeman.,
codemix-0030,"Kumilla Victoria College Kumilla jelay obosthito. Eti Kumillar shobcheye puraton ebong bikhyato college. Kumilla Victoria College 1899 sale protishthito hoy. Ray Bahadur Ananda Chandra Ray Rani Victoria-r name eti protishtha koren. Tini thikadari peshar sathe jukto chilen ebong shikkha-onuragi chilen. Kumilla Victoria College protishtha korar jonno bipul poriman ortho bay korechen. Ei college evabe poripurno bastobe rup ney. Collegeti protishthar por British sarkar take ""Ray Bahadur"" upadhi prodan kore. Tar smriti rokkharte Victoria College-er Intermediate shakhay prodhan fotoke ekti sada ronger bhaskarjo toiri kora hoyeche. Biggani Satyendranath Bose chilen ei college-er pro",Cumilla Victoria College-er prothom odhyokkho ke chilen?,Satyendranath Bosu,
codemix-0031,"Aeroplane Jelly Bert Appleth-er toiri Australia-r ekta jelly brand. Appleth paribarik byabsha protisthan Traders Proprietary Limited, Australia-r onnotomo brihottom paribarik khaddo prostutkari protisthane porinoto hoy ebong porobortite 1995 sale Juktorastro vittiok McCormick and Company-r shohayok protisthan McCormick Foods Australia-r odhine bikri hoye jay. Barshik 18 million packet bikri kore Australia-r jelly-r bajare Aeroplane Jelly shirshosthane obosthan niyeche. Shobcheye bikrito aswadan (flavour) holo Strawberry.[2]",Aeroplane Jelly er bortomane (2019) kon companyr ponno?,2019-eo mone hoy Aeroplane Jelly ekhono Traders Proprietary Limited-er ponno chhilo.,
codemix-0032,Abdul Jabbar 1938 saler 10 February totkalin British Bharoter (bortoman Bangladesh) Kushtia jelay jonmogrohon koren. [5][6] 1956 sale tini metric porikkhay uttirno hon.[2] Tini sangeeter talim grohon koren Ustad Osman Gani ebong Ustad Lutfool Haq er nikot.[7],Bangladeshi shongeet shilpi Abdul Jabbar kobe jonmogrohon koren?,1937 saler 12 February,
codemix-0033,Anowar Ibrahim United Malay National Organization ba UMNO er sodossho thakakalin somoye 1993-1998 sal porjonto Malaysia-r upo-prodhanmontri ebong 1991-1998 sal porjonto ortho montrir daitto palon koren. Kintu pore tini prodhanmontri Mahathir Mohammad kortik borkhasto hon. Ebong durniti o somokamitar daye jelhajote prerit hon.,Malaysian rajnitibid o birodhidoliyo neta Anwar Ibrahim koto sal theke koto sal porjonto Malaysia-r up-pradhanmontri chilen?,1992 theke 1997 sal porjonto.,
codemix-0034,1833 sale England-e Rammohon Ray mara jawar por dhormiyo songskar andolon-ta badhar shommukhin hoy. Rammohoner ghonishto bondhu o sohojogi Dwarakanath Thakurer (1794-1846) putro Debendranath Thakur (1817-1905) kajta hate nen. Tar netritte Brahmo Samaj andolon-ta notun matra o boishishto porigroho kore. Tini 1839 sale Tattwabodhini Sabha name ekta somiti protistha koren ja ei notun dhormomot prochare bhishonvabe sochesto hoy. Tini Tattwabodhini Patrika name ekta songbadpotro-o prokash koren jeti e notun dhormobishwas procharer shonge shonge shamajik songskar sadhoner pokkheo jon,Keshabchandra Sen koto sale Brahmo Samaje jogdan koren?,Keshabchandra Sen mone hoy 1859 shale Brahmo Samaje jogdan koren.,
codemix-0035,"Sultan Daud Khan Karrani Sulaiman Khan opekkha odhiktor shadhincheta o agrashi monovabshompanno bekti chilen. Mughal somrat Akbar senapati Munim Khan-ke Bangla akromoner jonno preron koren. Kintu Mughal senapati porajito hon. 1574 sale somrat Akbar swoyong Patna oborodh koren. Fole Daud Khan porajito hon. 1576 sale Mughal o Bangali senabahini Rajmahaler prantore ekta churanto juddhe lipto hoy. Juddher prothomdike Bangali bahini bijoy orjon kore. Kintu porobortite senapati Katlu Khan o Bikramaditya bishshaghatokota korle tara porajito hoy.[33] Fole Bangla, Bihar o Urishyasoh shomogro",Karrani rajbongser sorbosesh raja ke chilen?,Daud Khan Karrani,
codemix-0036,"Jibanananda Dash (/dʒɪbɒnʌnɒndɔː dʌʃ/) (18 February, 1899 - 22 October, 1954; 6 Falgun, 1305 - 5 Kartik, 1361 Bangabdo)[1] chilen bingsho shotabdir onnotomo prodhan adhunik Bangali kobi, lekhok, prabandhik. Tini Bangla kabye adhunikotar pothikritder moddhe onnotomo.[2] Jibananander prothom kabye Nazrul Islamer probhab thakleo ditiyo kabyo thekei tini hoye othen moulik o vhinno pother onushondhani.[2] Mrityur por theke shuru kore bingsho shotabdir shesh dhape tini jonopriota pete shuru koren ebong 1999 Khr",Kobi Jibanananda Dash koto sale jonmogrohon koren?,Jibanananda Dash prai 1901 shale jonmogrohon koren bole dhora hoy.,
codemix-0037,Al Kahf (Arbi vashay: al-kahf) musolmander dhormiyo grontho Quraner 18 tom surar ayat shonkha 110 ti ebong er rukur shonkha 11 ti. Al Kahf surati Makkay obotirno hoyeche. Ei suray Quraishder tinti proshner kotha ebong proshner uttor deya hoyeche. Ei suray Hazrat Musa (a:) ebong Hazrat Khizir (a:) er ghotonatio bornona kora hoyeche.,Quraner prothom surar rukur shonkha koto?,Quraner prothom surar rukur shonkha 12 ti.,
codemix-0038,"Brock Edward Lesnar [1] (/ˈlɛznər/; jonmo 12 July 1977)[1] ekjon American peshadar kustigir ebong purbe opeshadar kustigir, peshadar American football kheloyar, ebong mishro martial artist,[2] bortomane se WWE er WWE Raw brander sathe chuktiboddho achen.[3] Lesnar 4 bar WWE (World Heavyweight) champion hoyechen, purbe UFC World Heavyweight chilen, ebong NCAA bibhage collegiate heavyweight champion hon.[4][5]",Peshadar kustigir Brock Lesnar kobe jonmogrohon koren?,Brock Lesnar jonmogrohon koren 14 July 1977.,
codemix-0039,"Alfred Wallace Juktorajyer Wales-e obosthito Monmouthshire County-r Usk shohorer nikotoborti Llanbadoc namok grame jonmogrohon koren.[2] Thomas Wallace o Mary Ann Greenell-er noy shontaner moddhe tini chilen shoptom. Thomas shombhoboto Scottish bongshodbhuto. Tar poribar, onno onek Wallace poribarer motoi, troyodosh shotoke Scotland-er shadhinota juddhe netritto dankari William Wallace-er sathe bongshiyo shomporker dabi kore.[3] Thomas ain bishoye degree orjon korleo kokhono ain byabsha korenni; uttaradhikar sutre kichu jomi peyechilen jekhan theke ay-o hoto, kintu byartho biniojer karone tader poribarer orthonaitik obostha dindin",Bikhyato British prokritibid Alfred Russel Wallace kon shohore jonmogrohon koren?,Alfred Russel Wallace London-e jonmogrohon koren.,
codemix-0040,Pir Gorachander asal nam holo Pir Hojrot Shah Saiyad Abbas Ali Raji. Tar pitar nam Hojrot Karim Ullah ebong matar nam Maymuna Siddika. Anumanik 1265 Khristabde Arber Mokka nogore Zamzam mohollay bikhyato Korayesh bongse tini jonmogrohon koren. Pir Hojrot Shahjalal Amonir kache torika Sufimate dikshagrohon er por gurur nirdeshe Bharatborshe dhormo prochare asen. [1][2][4],Pir Gorachander asal nam ki?,Pir Gorachander asal nam chhilo Shah Jalal Amoni Raji.,
codemix-0041,"Jibanananda Dash (/dʒɪbɒnʌnɒndɔː dʌʃ/) (18 February, 1899 - 22 October, 1954; 6 Falgun, 1305 - 5 Kartik, 1361 Bangabdo)[1] chilen bingsho shotabdir onnotomo prodhan adhunik Bangali kobi, lekhok, prabandhik. Tini Bangla kabye adhunikotar pothikritder moddhe onnotomo.[2] Jibananander prothom kabye Nazrul Islamer probhab thakleo ditiyo kabyo thekei tini hoye othen moulik o vhinno pother onushondhani.[2] Mrityur por theke shuru kore bingsho shotabdir shesh dhape tini jonopriota pete shuru koren ebong 1999 Khr",Kobi Jibanananda Dash koto sale jonmogrohon koren?,"Uni 22 October, 1954 sale jonmogrohon koren.",
codemix-0042,"Madrasa shikkhay prothom protisthan chilo Safa porboter padeshe Zayed-bin-Arkamer barite - jekhane swoyong Rasul (s:) chilen shikkhok ebong shikkharthi chilen tar koyekjon onushari nowmuslim. Hijrater por Madinay Masjide Nababi-r purbopashe sthapit hoy Madrasa Ahle Suffa. Shikkhok chilen Ubada-ibn Samit ar shikkharthider moddhe chilen Abu Huraira (ra) Muayaz-ibn Jabal Gifari (ra) promukh. Sekaler madrasar pathyosuchite chilo, Quran, Hadis, Farayez, prothomik chikitsa, bongsho shastro, Tajbid ityadi. Echarao oshwo chalona, juddhobidya, hostolipi bidya, sh",Bishwer prothom madrasa shikkha protisthan kothay obosthito?,Bishwer prothom madrasa chilo Masjide Nababir purbopashe Ahle Suffa-te.,
codemix-0043,"Alauddin Khilji chilen Khilji bongser protishthata Jalaluddin Khiljir bhatija ebong jamata. Birbhumderke porajit kore Jalaluddin Khilji jokhon Dilli dokhol kore nen, tokhon Alauddin Khiljike Amir-i-Tujukh ba udjapon montri pod deya hoy. 1291 sale Jalaluddin Khilji tar bhatija Alauddin Khiljir hate Kara (Kanpurer nikotoborti ek elaka) namok oncholer shashonbhar tule den. 1296 sale Alauddin Khilji Bosila oborodh kore Jalaluddin Khiljir kach theke Abadh (Uttar-Pradesh) dokhol kore seta shashon kora shuru koren. 1296 sale Devagiri oborodh koren ebong Jalaluddiner bipul porimaner shompod",Khilji bongser protisthata ke?,Khilji bongser protisthata chhilen **Alauddin Khilji**.,
codemix-0044,"Jibanananda Dash (/dʒɪbɒnʌnɒndɔː dʌʃ/) (18 February, 1899 - 22 October, 1954; 6 Falgun, 1305 - 5 Kartik, 1361 Bangabdo)[1] chilen bingsho shotabdir onnotomo prodhan adhunik Bangali kobi, lekhok, prabandhik. Tini Bangla kabye adhunikotar pothikritder moddhe onnotomo.[2] Jibananander prothom kabye Nazrul Islamer probhab thakleo ditiyo kabyo thekei tini hoye othen moulik o vhinno pother onushondhani.[2] Mrityur por theke shuru kore bingsho shotabdir shesh dhape tini jonopriota pete shuru koren ebong 1999 Khr",Kobi Jibanananda Dash koto sale jonmogrohon koren?,"Jibanananda Dash 17 February, 1900 te jonmogrohon koren.",
codemix-0045,"Purnimar cholocchitre agomon Zakir Hossain Raju porichalito E Jibon Tomar Amar diye. Cholocchitroti mukti pay 1997 sale, tokhon tini class nine-e porten. 2003 sale mukti pay tar sob theke sofol chobi Matiur Rahman Panu porichalito Moner Majhe Tumi. Eti Bangladesh-Bharoter joutho proyojonay Bangladesher sobtheke sofol chobir moddhe onnotomo.[5] 2004 sale Rabeya Khatuner uponnash Megher Pore Megh obolombone Chashi Nazrul Islam porichalito muktijuddhovittik chayachobi Megher Pore Megh chobite obhinoy koren.[6] Echarao Kazi Nazrul Islamer golpo Rakkhushi niye nirmito cholocch",Bangladeshi obhinetri Purnimar obhinito prothom chobir nam ki?,E jibon tomar amar,
